"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LSER37US","journalArticle","2019","Hurtado-Parrado, Camilo; Sierra Puentes, Myriam C.; El Hazzouri, Mohammed; Morales, Alexandra; Gutiérrez-Villamarín, Diana; Velásquez, Laura; Correa-Chica, Andrea; Rincón, Juan Carlos; Henao, Karen; Castañeda, Juan G; López-López, Wilson","Emotion regulation and attitudes toward conflict in Colombia: effects of reappraisal training on negative emotions and support for conciliatory and aggressive statements","Frontiers in Psychology","","","10.3389/fpsyg.2019.00908","","Control of negative emotions (e.g., anger and fear) by political cues perpetuate intractable conflict by mobilizing public support for aggressive actions. Halperin et al. (2013) found that reappraisal – an adaptive form of emotion regulation – decreased negative emotions triggered by anger-inducing information related to the Israeli-Palestinian conflict, and increased support for conciliatory statements. We tested these effects in the context of the conflict between the Colombian government and the Fuerzas Armadas Revolucionarias de Colombia (FARC-EP). Reappraisal training reduced negative emotions produced by a presentation that illustrated FARC’s violent actions, and increased support for conciliatory statements (with overall moderate effect magnitudes). We also found that negative emotions mediated the effects of reappraisal on the support for aggressive and conciliatory statements. These findings indicate a high degree of generality of the phenomena, especially considering the differences between the Israeli-Palestinian and Colombian conflict; also, show promise for replicating these effects on other types of intergroup conflicts and guiding effective public policy","2019","2019-04-20 14:58:30","2020-06-25 12:00:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GAGTCSVM","journalArticle","2011","Quevedo-Blasco, Raúl; López López, Wilson","Situación de las revistas iberoamericanas de Psicología en el Journal Citation Reports de 2010","Universitas Psychologica","","2011-2777, 1657-9267","10.11144/Javeriana.upsy10-3.srip","https://revistas.javeriana.edu.co/index.php/revPsycho/article/view/1828","","2011-12-22","2019-06-25 21:27:14","2019-06-25 21:27:14","2019-06-25 21:27:14","937-947","","3","10","","","","","","","","","","","","","","","Crossref","","","","C:\Users\Luis\Zotero\storage\MGWUQKJJ\Quevedo-Blasco y López López - 2011 - Situación de las revistas iberoamericanas de Psico.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6WZWY4ST","journalArticle","2020","Gutiérrez-Romero, Mario Fernando; López-López, Wilson; Silva, Luis Manuel","Preferencia hacia la justicia restaurativa y retributiva y su relación con el nivel de competencia moral","Suma Psicológica","","01214381, 21459797","10.14349/sumapsi.2020.v27.n2.5","http://sumapsicologica.konradlorenz.edu.co/vol27-num-2-2020-preferencia-hacia-la-justicia-restaurativa-y-retributiva-y-su-relacion-con-el-nivel-de-competencia-moral/","","2020-10-15","2021-02-16 18:55:51","2021-02-16 18:58:16","2021-02-16 18:55:51","","","2","27","","Sumapsi","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DM6TCP2A","journalArticle","2006","Escobar-Melo, Hugo Alberto; López-López, Wilson; Sánchez-Pilonieta, Alfonso","Comunidades de investigación","Universitas Psychologica","","","","","","2006","2021-07-17 22:57:18","2021-07-17 22:58:38","","419-438","","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YEVATDQ4","journalArticle","2012","Muñoz-Onofre, Darío Reynaldo","PASIONES BÉLICAS. GESTIÓN DE LA GUERRA EN COLOMBIA EN LA PRIMERA DÉCADA DEL SIGLO XXI","Nómadas","","","","http://www.scielo.org.co/pdf/noma/n37/n37a07.pdf","","2012","2022-05-27 18:14:21","2022-05-27 18:15:41","","88-103","","","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YWK3QLBD","journalArticle","2012","Muñoz-Martínez, Amanda Milena; Novoa-Gómez, Mónica María; Gutiérrez, Rochy Mercedez Vargas","Functional Analytic Psychotherapy (FAP) in Ibero-America: Review of current status and some proposals.","International Journal of Behavioral Consultation and Therapy","","1555-7855","10.1037/h0100943","http://doi.apa.org/getdoi.cfm?doi=10.1037/h0100943","","2012","2022-05-27 18:00:47","2022-05-27 18:00:47","2022-05-27 18:00:47","96-101","","2-3","7","","International Journal of Behavioral Consultation and Therapy","Functional Analytic Psychotherapy (FAP) in Ibero-America","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5BARIC79","journalArticle","2012","Novoa-Gómez, Mónica María; Barreto, Idaly; Silva, Luis M.","Consumo de cigarrillo y prácticas culturales en contextos universitarios","Revista Latinoamericana de Psicología","","","","","Esta investigación observacional descriptiva de corte transversal poblacional se propuso determinar la prevalencia, la frecuencia, factores de riesgo y las características del contexto universitario en la sede de una universidad privada en Bogotá, Colombia, asociadas al consumo de cigarrillo en la población universitaria (n=973) en 2008-2009. El conjunto de resultados confirma que la experimentación con este tipo de sustancias está relacionada con variables ambientales como la disponibilidad y la facilidad de acceso, además de las prácticas valorativas positivas hacia el consumo, por parte de los grupos de referencia de los participantes. En los miembros de la comunidad universitaria es importante advertir que si bien el comportamiento de consumo de cigarrillo pudo adquirirse antes del ingreso a la universidad, ésta es un contexto de refuerzo social, del cual se derivan excesivos seguimientos a reglas de comportamiento. Es decir, en los contextos universitarios se promueven modos de comportamiento social que están bajo el control de una historia de correspondencia entre las reglas y las contingencias naturales en la interacción social, tal y como fue señalado por todos los grupos al señalar el factor social como el elemento de mayor peso en el momento de decidir fumar.","2012","2022-05-27 17:47:03","2022-06-01 21:44:19","","97-110","","1","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22I89RX8","journalArticle","2012","Novoa-Gómez, Mónica María","De la salud mental y la salud pública","Revista de Gerencia de Políticas en Salud","","","","http://www.scielo.org.co/pdf/rgps/v11n23/v11n23a01.pdf","","2012","2022-05-27 17:46:06","2022-05-27 17:46:41","","5-9","","23","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WMPM2DQ6","journalArticle","","Pulido-Martínez, Hernán Camilo","La Investigación Sobre la Identidad en, para y por el Trabajo en América Latina, como Ejercicio Crítico Acerca del Mundo Laboral","Psykhe (Santiago)","","","","https://www.scielo.cl/scielo.php?pid=S0718-22282012000200007&script=sci_abstract","","","2022-05-27 17:41:37","2022-06-03 20:59:10","","77-85","","2","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B6MGRAGF","journalArticle","2012","Rodríguez-Cely, Leonardo","Análisis de la Justicia Restaurativa en Materia de Responsabilidad Penal para Adolescentes en Colombia","Anuario de Psicología Jurídica","","","","https://www.redalyc.org/pdf/3150/315024813004.pdf","","2012","2022-05-27 17:38:35","2022-05-27 17:39:17","","25-35","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9LXZ2KSH","journalArticle","2012","Rubio León, Diana Carolina","Factores asociados con el tamizaje de cáncer de cuello uterino en mujeres de nivel socioeconómico medio y bajo en Bogotá, Colombia","Revista de la Facultad Nacional de Salud Pública","","","","http://www.scielo.org.co/pdf/rfnsp/v30n1/v30n1a02.pdf","","2012","2022-05-27 17:34:44","2022-05-27 17:37:12","","7-16","","1","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GD65788V","journalArticle","2012","Rubio León, Diana Carolina","Significados de las prácticas dirigidas a la prevención del cáncer de cuello uterino","Revista Facultad Nacional de Salud Pública","","","","https://revistas.udea.edu.co/index.php/fnsp/article/view/26635","","2012","2022-05-27 17:31:26","2022-05-27 17:34:44","","80-81","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AS5K5UVR","journalArticle","2012","Vargas-Monroy, Liliana","IV. Knowledge from the borderlands: Revisiting the paradigmatic mestiza of Gloria Anzaldúa","Feminism & Psychology","","0959-3535, 1461-7161","10.1177/0959353511415969","http://journals.sagepub.com/doi/10.1177/0959353511415969","","2012-05","2022-05-27 17:30:05","2022-05-27 17:30:05","2022-05-27 17:30:05","261-270","","2","22","","Feminism & Psychology","IV. Knowledge from the borderlands","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SLCI3Z96","journalArticle","2012","Gómez Morales, Yuri Jack; Jaraba-Barrios, Bruno; Guerrero-Castro, Javier; López-López, Wilson","Entre Internacionalización y Consolidación de Comunidades Académicas Locales. Sobre la Revista Latinoamericana de Psicología","Revista Colombiana de Psicología","","","","","","2012","2022-05-27 17:28:24","2022-05-27 17:29:26","","97-110","","1","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IHM89QR3","journalArticle","2012","Barreto, Idaly; Borja, Henry; López-López, Wilson","Estereotipos asociados a la legitimación de la violencia política en Colombia","Revista Mexicana de Psicología","","","","","","2012","2022-05-27 17:25:52","2022-05-27 17:26:44","","73-85","","1","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EI6WG6F5","bookSection","2009","Cairo Carou, Heriberto; Echeverri Buriticá, Maria Margarita","Identidades y ciudadanías en movimiento: a propósito de la participación política del colectivo de latinoamericanos en Madrid","Migración y política: Latinoamericanos en la Comunidad de Madrid","","","","","","2009","2022-05-27 17:21:29","2022-05-27 17:25:01","","37-60","","","","","","","","","","","Trama","Madrid","","","","","","","","","","","","","","De la Fuente Fernández, Rosa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SIUC9JD7","book","2020","Tovar Guerra, Claudia","Parte 4: expertos. Capítulo 1: Desplazamiento forzado: potencia política de la acción psicosocial","","","","","https://repository.usta.edu.co/handle/11634/28948","","2020","2022-05-27 17:20:50","2022-05-27 17:20:50","2022-05-27 17:20:50","","","","","","","Parte 4","","","","","Universidad Santo Tomás","","","","","","","DOI.org (Crossref)","","DOI: 10.15332/dt.inv.2020.00958","","C:\Users\Luis\Zotero\storage\334P2RCF\Tovar Guerra - 2020 - Parte 4 expertos. Capítulo 1 Desplazamiento forz.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L5XZFTZJ","bookSection","2019","López-López, Wilson; Rincón-Unigarro, Camilo; Gutiérrez-Romero, Mario; Rodríguez-Cely, Leonardo","Psicología de la justicia para la  construcción de paz en colombia: una apuesta desde la psicología política","Psicología política y procesos para la paz en Colombia","978-958-55-9000-7","","","http://repository.icesi.edu.co/biblioteca_digital/handle/10906/84683","","2019-09-11","2022-05-26 18:56:24","2022-05-26 18:58:14","2022-05-26 18:56:24","","","","","","","","","","","","Universidad Icesi y Asociación Colombiana de Facultades de Psicología (ASCOFAPSI)","","","","","","","DOI.org (Crossref)","","DOI: 10.18046/EUI/ee.2.2019","","C:\Users\Luis\Zotero\storage\NYQNVMKD\Universidad Tecnológica de Pereira et al. - 2019 - Psicología política y procesos para la paz en Colo.pdf","","","","Díaz Gómez, Álvaro; Bravo, Omar Alejandro","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5VS7GV3Y","journalArticle","2020","Castañeda Polanco, Juan Gabriel; Lopez-lopez, Wilson; Camargo Barrero, José Antonio","Calidad de vida relacionada con la salud en población víctima del conflicto armado en Colombia","Psicología desde el Caribe","","0123417X, 20117485","10.14482/psdc.36.2.303.6","http://rcientificas.uninorte.edu.co/index.php/psicologia/article/viewFile/10305/214421444251","","2020-03-25","2022-05-26 18:54:37","2022-05-26 18:54:37","2022-05-26 18:54:37","132-148","","2","36","","psdc","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDUMHMDP","journalArticle","2019","Gutiérrez Romero, Mario Fernando","Argumentar a través de analogías: La emoción en el análisis de una problemática socio-científica","Revista signos","","0718-0934","10.4067/S0718-09342019000100055","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-09342019000100055&lng=en&nrm=iso&tlng=en","","2019-03-15","2022-05-26 18:53:57","2022-05-26 18:53:57","2022-05-26 18:53:57","55-76","","99","52","","Rev. signos","Argumentar a través de analogías","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\Luis\Zotero\storage\6I4W5JRC\Gutiérrez Romero - 2019 - Argumentar a través de analogías La emoción en el.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F6C2SHDR","journalArticle","2019","Rodriguez, Jenny K.; Mandiola, Marcela; Pulido Martinez, Hernan Camilo; Giraldo Tamayo, Alba Luz","Estudios descoloniales del management y las organizaciones: Avances, desafíos y prospectos","Cuadernos de Administración","","1900-7205, 0120-3592","10.11144/10.11144/Javeriana.cao32-58.edmo","https://revistas.javeriana.edu.co/index.php/cuadernos_admon/article/view/27193","Este número especial presenta discusiones que, desde una mirada latinoamericana y latinoamericanista, abordan el significado de lo critico y la criticalidad en la producción de conocimiento acerca del management y las organizaciones. Los trabajos en este numero especial dejan de lado las representaciones autoritarias que han sostenido ideas hegemónicas y utilizan como punto de partida el conocimiento producido en el margen. Esta comprensión de la criticalidad se fundamental en una postura decolonial (ver Grosfoguel, 2007), la cual utiliza nociones de ruptura en lugar de nociones de (re)negociación intelectual. Esto es, el desarrollo de una mirada epistemológicamente situada desde/hacia lo crítico, buscando rechazar críticas domesticadas que re-negocien o re-formulen significados que finalmente expanden el conocimiento dominante. Este pensamiento “desde el margen” es entonces el pensamiento hegemónico “del margen”.","2019-09-03","2022-05-26 18:29:45","2022-05-26 18:29:45","2022-05-26 18:29:45","","","58","32","","Cuad Adm.","Estudios descoloniales del management y las organizaciones","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\Luis\Zotero\storage\CJADWWV9\Rodriguez et al. - 2019 - Estudios descoloniales del management y las organi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BQTTSE22","journalArticle","2020","Colón Llamas, Tatiana; Escobar Altare, Andrea Paola; Santacoloma, Andrés; Granados García, Alejandro; Moreno Luna, Socorro; Silva Martin, Luis Manuel","Caracterización psicosocial y de motivos de consulta de la población asistente a 28 Centros de Atención Psicológica Universitarios en Colombia","Universitas Psychologica","","2011-2777, 1657-9267","10.11144/Javeriana.upsy18-4.cpmc","https://revistas.javeriana.edu.co/index.php/revPsycho/article/view/26886","En Colombia, los Centros de Atención Psicológica Universitarios ofrecen servicio de psicoterapia. El incremento de la demanda de atención psicológica en estos Centros y la diversidad de las personas que asisten a los mismos hacen necesario conocer las características de la población consultante y sus pedidos de ayuda, con el fin de producir información relevante que oriente el diseño futuro de estrategias de evaluación e intervención a nivel de la atención clínica y psicosocial.  El objetivo de este estudio fue establecer una caracterización psicosocial y de los motivos de consulta de las personas que asisten a los Centros de Atención Psicológica Universitarios.  Se realizó una encuesta a 1525 personas que asistieron por primera vez a 28 de estos centros durante el período de marzo a julio de 2018, en siete regiones del país: Bogotá, Antioquia, Costa Caribe, Eje Cafetero, Tolima, Huila y Valle del Cauca. Los resultados mostraron que las dificultades emocionales y del estado de ánimo, los problemas de relación con el grupo primario de apoyo y las pérdidas y duelos son los principales motivos para consultar. La violencia intrafamiliar, la afectación directa e indirecta por el conflicto armado y las condiciones de inseguridad en el entorno cercano son factores de riesgo psicosocial en la población. Se recomienda la implementación de intervenciones psicológicas y psicosociales que privilegien las características específicas de los consultantes, así como la estructuración de equipos interdisciplinarios para la recuperación y el bienestar de la población.","2020-01-27","2022-05-26 18:29:02","2022-05-26 18:29:02","2022-05-26 18:29:02","1-23","","4","18","","Univ Psychol","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\Luis\Zotero\storage\CBMXFWKX\Colón Llamas et al. - 2020 - Caracterización psicosocial y de motivos de consul.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
